,Comment,Likes,Time,UserLink,user
0,Play on  with a super powerful processor and snap away  in ultra-high resolution. What epic moments will you share?Learn more: http://smsng.co/S23Ultra_Intro_ytp,852,2 months ago,https://www.youtube.com/channel/UCWwgaK7x0_FR1goeSRazfsQ,
1,"Ok this is awesome. Im so happy that Samsung is upgrading it's night photography and giving some focus to astrophotography as well. One of my favorite things to do is mobile astrophotography and this is looking like a serious upgrade for me. Thank you Samsung, will definitely be upgrading from my 5 year old OnePlus this year!",1.1K,2 months ago,,
2,"Ever since the S22 Ultra, I've been the biggest fan of your smartphones! This year is going to be even better, and now with more steady video as well as a vastly improved night mode, I'm sure we will even beat Apple's recording capabilities!",951,2 months ago,,
3,"By far the most creative and captivating introduction film of any product.
Way to go, Samsung!",94,2 months ago,,
4,"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",283,2 months ago,,
5,"This is the best Samsung commercial in decades! Makes me really want to get the S23. Maybe I will
UPDATE: The retailers are borderline scalpers. The phone costs double the price where I live in the Caribbean. I'll have to sit this one out. Ad is still sick",1.7K,2 months ago (edited),,
6,The introduction film is impecceable! Loooooved watching every second of it.,5,1 month ago,,
7,"Nostalgia to the times when smartphone introductions are fun like this
Edit: thank you for the likes",3.6K,2 months ago (edited),,
8,This is actually such an elaborate and fun introduction film. Nice job. My s23 Ultra is already pre-ordered!,259,2 months ago,,
9,I have to admit that this focus on the camera including Astro photography and low light seems pretty great.,95,2 months ago,,
10,Never seen Samsung pull out an epic commercial better than this,21,2 months ago,,
11,Hmmm… still not convincing me enough to move from 14 pro max.,86,2 months ago,,
12,"I must confess I love this commercial, beautifully done and fun too",9,2 months ago,,
13,Samsung Official Introductions are not as good as they were earlier,8,2 months ago,,
14,Great one! Both intro film and the product looks absolutely promising.,79,2 months ago,,
15,"Samsung always innovates endlessly, I pray everyone can buy Samsung S23 Ultra. Love it",382,2 months ago,,
16,The dumb equipment of 700 performance better,6,2 months ago (edited),,
17,"I must say Samsung has the best video introduction of all time. Kind of disappointed with my trade in value for my s22 ultra, but I’ll hold unto it until next year",170,2 months ago,,
18,"I got mine yesterday and as Samsung stated, ""Ultra"" is the best of the best and the S23 Ultra delivers. The device is so responsive that its unbelievable. My Note 20 Ultra wasnt this fast at all.",3,2 months ago,,
19,And I might upgrade from S22 Ultra to S23 Ultra just for that astrophotography.,155,2 months ago,,
20,It was fun watching it.Awesome introduction ️,32,2 months ago,,
21,As someone who has a S9 and loved taking photos on my phone. This is what I'll upgrade to,281,2 months ago,,
22,Been so long since i saw a genuinely fun intro video for a smartphone launch. Way to go Samsung. I might upgrade from my old one plus this year!,1,2 months ago,,
23,I always wait for new Samsung introduction videos they are always fun to watch love it as always ️,6,2 months ago,,
24,Great phone as always. Love the design. I wish if I had money to own this beauty,3,2 months ago,,
25,Galaxy m13 is bad at performance,14,2 months ago,,
26,I haven't been this excited for a new phone in a while!,7,2 months ago,,
27,It's the worst that can exist,5,2 months ago,,
28,"Base S23 could now easily be recommended as the best compact phone; with S22, battery and thermal issues were big problems that held it back from getting that title and instead the Asus Zenfone 9 got it. Now, with bigger battery, more efficient chip, and better cooling system, S23 wins that title by FAR (Zenfone 9 doesn't have telephoto lens or wireless charging, lesser update commitment, and is missing all those QOL improvements that real flagships have). Of course there's still iPhone 14 pro to consider, but a) it's $200 dollars more, b) has weaker battery and charging, c) you can't really compare iOS and Android since no one is really switching from one to another no matter how many arguments you have either way...",2,2 months ago (edited),,
29,"They're really stepping up their game in their introduction videos. Instead of having some person narrate the things that are new, they show you with people having more of a conversation in more imaginative environments. Though I do like that commercial that shows how their SSD isn't made of soap lol",4,2 months ago,,
